created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2021-01-30T15:57:26+00:00,1,0,,,,,
2021-01-30T15:58:19+00:00,2,20,,,,,
2021-01-30T16:32:48+00:00,3,22,,,,,
2021-01-30T19:51:08+00:00,4,0,,,,,
2021-01-30T19:52:36+00:00,5,0,,,,,
2021-01-30T19:59:10+00:00,6,20,,,,,
2021-01-30T20:01:42+00:00,7,0,,,,,
2021-01-30T20:22:22+00:00,8,0,,,,,
2021-01-30T20:33:35+00:00,9,20,,,,,
2021-01-30T21:07:56+00:00,10,9,,,,,
2021-01-30T21:42:15+00:00,11,9,,,,,
2021-01-30T22:16:33+00:00,12,9,,,,,
2021-01-30T22:50:52+00:00,13,8,,,,,
2021-01-30T23:25:11+00:00,14,8,,,,,
2021-01-30T23:59:29+00:00,15,8,,,,,
2021-01-31T00:33:47+00:00,16,7,,,,,
2021-01-31T01:08:05+00:00,17,7,,,,,
2021-01-31T01:42:25+00:00,18,7,,,,,
2021-01-31T02:16:40+00:00,19,7,,,,,
2021-01-31T02:50:58+00:00,20,7,,,,,
2021-01-31T03:25:15+00:00,21,6,,,,,
2021-01-31T03:59:32+00:00,22,6,,,,,
2021-01-31T04:33:50+00:00,23,6,,,,,
2021-01-31T05:08:07+00:00,24,6,,,,,
2021-01-31T05:42:24+00:00,25,6,,,,,
2021-01-31T06:16:41+00:00,26,6,,,,,
2021-01-31T06:50:58+00:00,27,5,,,,,
2021-01-31T07:25:15+00:00,28,5,,,,,
2021-01-31T07:59:32+00:00,29,5,,,,,
2021-01-31T08:33:48+00:00,30,5,,,,,
2021-01-31T09:08:05+00:00,31,5,,,,,
2021-01-31T09:42:22+00:00,32,6,,,,,
2021-01-31T10:16:41+00:00,33,14,,,,,
2021-01-31T10:51:02+00:00,34,15,,,,,
2021-01-31T11:25:24+00:00,35,16,,,,,
2021-01-31T11:59:47+00:00,36,16,,,,,
2021-01-31T12:34:09+00:00,37,16,,,,,
